NPI,NDC,Units,UnitCost
9,1465,2555,258.72
3,1556,2999,398.98
2,214,COFFEE,449.49
2,3199,2999,213.95
1,3342,0,453.37
7,5,565,501.66
9,2611,1530,44.14
3,1518,2997,391.05
3,1997,2996,146.87
8,3967,100,194.44
5,1611,2999,338.8
5,322,2999,200.57
9,1076,1404,144.82
4,3915,2999,124.98
3,1962,2996,155.92
7,3082,2919,314.42
5,17,2999,404.18
2,947,2999,488.29
2,3911,2998,374.05
3,1520,2995,480.91
9,2992,2076,421.32
9,3484,261,236.87
9,2055,1151,25.94
9,160,1814,156.88
1,3248,0,500.45
7,3350,1147,58.27
4,2402,2998,34.92
7,2156,2776,323.67
5,2631,2998,467.64
2,2086,2998,347.12
4,1511,2997,34.55
6,525,2877,447.96
10,1011,2006,374.95
1,4830,2,14.53
1,1248,3,194.97
5,1828,2996,349.45
9,1046,787,181.22
1,3016,3,109.4
8,3469,2042,85.76
9,979,611,295.91
1,804,4,318.58
10,2676,367,264.24
5,3236,2996,487.56
2,1777,2997,376.73
9,4297,2066,399.85
7,1448,2466,305.93
7,1629,166,487.21
6,2595,1573,77.44
1,3806,4,81.25
4,3489,2997,251.63
7,4249,2869,228.05
1,4187,4,46.67
3,4854,2995,276.68
4,4326,2995,368.46
2,3306,2996,44.53
10,4146,2516,501.06
6,4045,97,195.79
2,4060,2995,354.93
1,1833,4,302.5
9,1640,1931,134.28
7,2026,1488,71.57
3,1846,2994,370.12
3,1323,2994,248.46
1,4790,5,406.76
4,603,2995,483.95
5,3926,2994,158.17
3,4607,2994,99.72
10,2631,534,467.06
5,2871,2993,251.36
4,4698,2994,65.21
8,4752,1994,133.29
10,814,1786,286.7
4,2758,2994,438.35
7,3652,748,124.86
9,3941,215,435.5
8,4067,2575,76.8
6,1525,1662,421.75
8,3264,2553,260.91
1,38,6,319.16
5,4298,2993,8.88
8,3545,1488,234.41
7,3992,718,64.05
6,13,2423,383.49
7,3972,529,256.76
7,4953,2715,415.43
9,3391,735,444.66
6,721,1757,485.42
3,235,2993,241.11
9,2982,615,411.87
10,4344,409,208.6
5,4603,2993,248.27
7,3199,2485,421.22
2,2408,2995,400.46
1,957,7,308.05
9,1505,1853,477.88
5,3992,2992,312.63
5,1035,2992,177.42
1,1420,7,251.32
6,4988,269,22.17
7,2235,2414,494.3
5,4684,2991,203.58
5,2573,2991,51.67
9,447,2766,298.62
4,2551,2994,82.46
8,124,1221,109.24
6,3267,1139,374.28
6,2484,2594,213.4
9,3704,700,273.07
5,2608,2991,159.87
4,2217,2994,327.45
9,622,1970,437.47
8,3263,2162,88.97
6,750,1309,380.59
8,1416,1206,145.02
2,1347,2995,36.75
3,1211,2993,219.1
8,56,2515,228.54
4,20,2993,150.71
3,1379,2993,33.93
2,4469,2994,327.75
7,714,446,334.5
1,4089,7,405.35
4,2812,2993,451.39
8,1432,1705,326.88
5,2758,2990,334.88
8,3658,1238,414.19
5,4807,2990,283.69
4,1458,2992,142.12
9,4181,1647,495.71
3,4902,2993,30.27
3,3545,2992,300.25
1,1165,7,358.94
3,4768,2992,443
6,2000,519,423.19
5,2060,2990,250.51
2,4842,2994,250.1
10,970,640,161.98
9,3842,231,264.82
8,4510,273,482.5
8,541,76,179.53
7,3414,2016,32.46
1,2257,8,486.48
7,3934,2734,461.6
10,144,1523,91.85
4,373,2992,429.29
2,4105,2994,80.89
5,202,2989,411.79
2,1380,2992,128.77
7,505,1329,223.31
3,1550,2990,422.57
1,3652,9,368.74
2,667,2992,304.71
7,729,1820,265.16
7,4911,2921,503.3
7,2706,83,357.97
5,3837,2988,201.77
4,135,2991,135.45
1,2505,10,169.17
2,1801,2991,227.03
1,1647,10,127.7
1,2284,10,481.61
10,1447,861,469.78
6,1706,2281,28.58
3,2550,2990,77.03
7,3489,282,486.93
3,4016,2989,268.53
7,2553,743,397.95
8,2659,1131,189.4
6,4550,2649,306.93
5,4823,2988,115.48
5,246,2986,210.72
5,693,2986,245.8
10,2310,324,493.99
1,1717,11,261.51
7,3116,190,407.78
3,1851,2989,481.57
5,3791,2985,287.84
4,4186,2991,253.83
4,4017,2991,181.33
4,2370,2990,484.2
7,3819,104,257.01
2,497,2989,475
2,3804,2987,133.71
5,2276,2983,324.16
6,397,2374,414.89
4,962,2989,295.67
7,3067,25,141.36
6,4053,1992,476.31
9,1060,1165,491.41
7,4480,182,157.31
7,3600,2527,19.2
7,2340,835,382.4
1,4599,12,218
2,253,2986,67.48
7,4218,1937,228.01
7,2119,1582,21.05
10,1213,930,380.72
9,332,2610,18.23
